Is Duplicate Row?,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Location,Above Ground Sighter Measurement,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Lat/Long,Lat/Long - Split 1,Lat/Long - Split 2
Unique,-73.971720138,40.776120281,13D-PM-1018-02,13D,PM,10182018,2,Adult,Gray,White,Gray+White,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9717201378775 40.776120280884),POINT,(-73.9717201378775 40.776120280884)
Unique,-73.967205461,40.787651992,26A-PM-1006-05,26A,PM,10062018,5,Adult,Gray,,Gray+,Above Ground,40,False,True,False,False,False,False,False,False,False,True,False,False,False,POINT (-73.9672054610151 40.7876519923501),POINT,(-73.9672054610151 40.7876519923501)
Unique,-73.962612042,40.790512636,30C-AM-1014-02,30C,AM,10142018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,True,False,False,False,True,False,False,False,False,True,False,True,False,POINT (-73.9626120417397 40.7905126358626),POINT,(-73.9626120417397 40.7905126358626)
Unique,-73.961807636,40.794780872,35A-PM-1013-05,35A,PM,10132018,5,Adult,Gray,,Gray+,Above Ground,3,False,False,True,False,False,False,False,False,False,False,False,False,False,POINT (-73.9618076359384 40.7947808718203),POINT,(-73.9618076359384 40.7947808718203)
Unique,-73.967714674,40.778823133,17E-AM-1017-07,17E,AM,10172018,7,Adult,Gray,,Gray+,Ground Plane,FALSE,False,True,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9677146741772 40.7788231332337),POINT,(-73.9677146741772 40.7788231332337)
Unique,-73.963279934,40.780831644,21H-PM-1018-01,21H,PM,10182018,1,Juvenile,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,False,False,False,False,False,True,True,False,False,POINT (-73.9632799339872 40.7808316436308),POINT,(-73.9632799339872 40.7808316436308)
Unique,-73.958743976,40.784900611,27I-AM-1007-04,27I,AM,10072018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,True,POINT (-73.9587439756541 40.7849006107353),POINT,(-73.9587439756541 40.7849006107353)
Unique,-73.958607567,40.798369551,40B-PM-1014-04,40B,PM,10142018,4,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.958607566971 40.7983695505584),POINT,(-73.958607566971 40.7983695505584)
Unique,-73.974000776,40.765007709,1H-PM-1013-01,01H,PM,10132018,1,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,False,True,False,POINT (-73.9740007759509 40.7650077086539),POINT,(-73.9740007759509 40.7650077086539)
Unique,-73.968807164,40.781201816,19C-PM-1018-02,19C,PM,10182018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.968807163616 40.7812018159499),POINT,(-73.968807163616 40.7812018159499)
Unique,-73.969844637,40.784260717,22A-AM-1008-01,22A,AM,10082018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,Above Ground,4,False,False,False,True,False,False,False,False,False,False,False,False,False,POINT (-73.9698446365683 40.7842607168578),POINT,(-73.9698446365683 40.7842607168578)
Unique,-73.966890948,40.784129858,22C-PM-1006-12,22C,PM,10062018,12,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,True,False,True,False,False,False,False,False,False,False,POINT (-73.9668909481942 40.7841298584027),POINT,(-73.9668909481942 40.7841298584027)
Unique,-73.962106672,40.794242708,34A-AM-1012-03,34A,AM,10122018,3,Adult,Gray,,Gray+,Ground Plane,FALSE,True,False,False,True,True,False,False,False,False,False,False,False,True,POINT (-73.9621066718851 40.7942427079733),POINT,(-73.9621066718851 40.7942427079733)
Unique,-73.961901930,40.792447644,33B-PM-1010-05,33B,PM,10102018,5,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9619019299709 40.7924476439693),POINT,(-73.9619019299709 40.7924476439693)
Unique,-73.976587792,40.766094607,1F-AM-1010-04,01F,AM,10102018,4,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9765877920583 40.7660946071574),POINT,(-73.9765877920583 40.7660946071574)
Unique,-73.958078560,40.795798131,37C-PM-1013-01,37C,PM,10132018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,False,True,False,POINT (-73.9580785600617 40.7957981310897),POINT,(-73.9580785600617 40.7957981310897)
Unique,-73.953101336,40.792122356,36I-PM-1007-04,36I,PM,10072018,4,Adult,Gray,,Gray+,Ground Plane,FALSE,False,True,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.9531013359625 40.7921223556535),POINT,(-73.9531013359625 40.7921223556535)
Unique,-73.968162733,40.778509967,17E-PM-1018-02,17E,PM,10182018,2,Adult,Gray,,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9681627331154 40.7785099665602),POINT,(-73.9681627331154 40.7785099665602)
Unique,-73.961070559,40.791482966,32D-AM-1013-06,32D,AM,10132018,6,Adult,Cinnamon,,Cinnamon+,Ground Plane,FALSE,True,False,False,True,True,False,False,False,False,True,True,False,False,POINT (-73.9610705592868 40.7914829661051),POINT,(-73.9610705592868 40.7914829661051)
Unique,-73.977307915,40.769650669,4C-AM-1006-02,04C,AM,10062018,2,Juvenile,Gray,White,Gray+White,Ground Plane,FALSE,True,False,False,True,True,False,False,False,False,True,False,True,False,POINT (-73.9773079154219 40.7696506688861),POINT,(-73.9773079154219 40.7696506688861)
Unique,-73.974831878,40.777182138,13A-AM-1017-05,13A,AM,10172018,5,Adult,Gray,White,Gray+White,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9748318777506 40.7771821378056),POINT,(-73.9748318777506 40.7771821378056)
Unique,-73.974649344,40.775047873,11B-PM-1014-06,11B,PM,10142018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,Above Ground,15,False,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9746493441414 40.7750478734868),POINT,(-73.9746493441414 40.7750478734868)
Unique,-73.973388236,40.768307871,5G-AM-1006-01,05G,AM,10062018,1,Adult,Gray,Black,Gray+Black,Above Ground,20,False,False,True,False,False,False,False,False,False,False,False,False,False,POINT (-73.9733882364574 40.7683078706597),POINT,(-73.9733882364574 40.7683078706597)
